time, avg_cpuUtilization, avg_memoryUtilization,qm,avp
2024-06-12 15:36:39.426,84,64,10,9
2024-06-12 15:36:40.350,82,64,10,9
2024-06-12 15:36:41.266,75,64,10,9
2024-06-12 15:36:42.181,78,65,10,9
2024-06-12 15:36:43.087,51,65,10,9
2024-06-12 15:36:43.992,59,65,10,9
2024-06-12 15:36:44.901,54,65,10,9
2024-06-12 15:36:45.807,66,65,10,9
2024-06-12 15:36:46.727,71,66,10,9
2024-06-12 15:36:47.649,66,66,10,9
2024-06-12 15:36:48.555,56,65,10,9
2024-06-12 15:36:49.483,78,66,10,9
2024-06-12 15:36:50.427,74,65,10,9
2024-06-12 15:36:51.334,60,65,10,9
2024-06-12 15:36:52.240,70,65,10,9
2024-06-12 15:36:53.146,60,65,10,9
2024-06-12 15:36:54.055,60,65,10,9
2024-06-12 15:36:54.962,59,65,10,9
2024-06-12 15:36:55.871,60,65,10,9
2024-06-12 15:36:56.776,60,65,10,9
2024-06-12 15:36:57.682,61,65,10,9
2024-06-12 15:36:58.587,56,65,10,9
2024-06-12 15:36:59.497,57,65,10,9
2024-06-12 15:37:00.403,64,65,0,9
2024-06-12 15:37:01.311,59,65,0,9
2024-06-12 15:37:02.219,55,65,0,9
2024-06-12 15:37:03.141,61,65,0,9
2024-06-12 15:37:04.052,62,65,0,9
2024-06-12 15:37:04.963,55,65,0,9
2024-06-12 15:37:05.864,73,64,0,9
2024-06-12 15:37:06.774,64,64,0,9
2024-06-12 15:37:07.686,59,64,0,9
2024-06-12 15:37:08.594,68,64,0,9
2024-06-12 15:37:09.505,66,64,0,9
2024-06-12 15:37:10.411,55,64,0,9
2024-06-12 15:37:11.321,66,64,0,9
2024-06-12 15:37:12.231,67,65,0,9
2024-06-12 15:37:13.136,48,65,0,9
2024-06-12 15:37:14.041,62,65,0,9
2024-06-12 15:37:14.950,58,65,0,9
2024-06-12 15:37:15.872,71,65,0,9
2024-06-12 15:37:16.780,85,65,0,9
2024-06-12 15:37:17.723,88,66,0,9
2024-06-12 15:37:18.639,77,66,0,9
2024-06-12 15:37:19.549,78,67,0,9
2024-06-12 15:37:20.456,78,66,0,9
2024-06-12 15:37:21.380,87,67,0,9
2024-06-12 15:37:22.309,77,67,0,9
2024-06-12 15:37:23.238,79,67,0,9
2024-06-12 15:37:24.156,82,67,0,9
2024-06-12 15:37:25.067,78,68,10,9
2024-06-12 15:37:25.993,87,68,10,9
2024-06-12 15:37:26.905,67,68,10,9
2024-06-12 15:37:27.819,84,69,10,9
2024-06-12 15:37:28.745,74,69,10,9
2024-06-12 15:37:29.676,79,69,10,9
2024-06-12 15:37:30.615,88,69,10,9
2024-06-12 15:37:31.525,77,70,10,9
2024-06-12 15:37:32.437,70,70,10,9
2024-06-12 15:37:33.351,65,70,10,9
2024-06-12 15:37:34.260,75,70,10,9
2024-06-12 15:37:35.166,53,70,10,9
2024-06-12 15:37:36.074,64,70,10,9
2024-06-12 15:37:36.980,54,70,10,9
2024-06-12 15:37:37.902,66,70,10,9
2024-06-12 15:37:38.806,48,70,10,9
